[ Valid | 018/020 ] loss = 1.01055, acc = 0.80754
train | [019/020] loss=0.91133, acc=0.90232
[ Valid | 019/020 ] loss = 0.93073, acc = 0.89551 -> best
train | [020/020] loss=0.90070, acc=0.91095
[ Valid | 020/020 ] loss = 0.95528, acc = 0.89050
train | [001/020] loss=0.91924, acc=0.90640
[ Valid | 001/020 ] loss = 0.93326, acc = 0.87306
train | [002/020] loss=0.90411, acc=0.90334
[ Valid | 002/020 ] loss = 0.92557, acc = 0.90558 -> best
train | [003/020] loss=0.90174, acc=0.91016
[ Valid | 003/020 ] loss = 0.93550, acc = 0.88411
train | [004/020] loss=0.90486, acc=0.90674
[ Valid | 004/020 ] loss = 0.96117, acc = 0.87355
train | [005/020] loss=0.89278, acc=0.91004
[ Valid | 005/020 ] loss = 0.96264, acc = 0.86220
train | [006/020] loss=0.90436, acc=0.91200
[ Valid | 006/020 ] loss = 0.97634, acc = 0.86369
train | [007/020] loss=0.89887, acc=0.91214
[ Valid | 007/020 ] loss = 0.89260, acc = 0.91981 -> best
train | [008/020] loss=0.88304, acc=0.91614
[ Valid | 008/020 ] loss = 0.96220, acc = 0.88738
train | [009/020] loss=0.87619, acc=0.91602
[ Valid | 009/020 ] loss = 0.89093, acc = 0.89990
train | [010/020] loss=0.87712, acc=0.91632
[ Valid | 010/020 ] loss = 0.92473, acc = 0.89127
train | [011/020] loss=0.87813, acc=0.91908
[ Valid | 011/020 ] loss = 0.91756, acc = 0.90110
train | [012/020] loss=0.86722, acc=0.91681
[ Valid | 012/020 ] loss = 0.95384, acc = 0.89225
train | [013/020] loss=0.87154, acc=0.92486
[ Valid | 013/020 ] loss = 0.94464, acc = 0.90367
train | [014/020] loss=0.87016, acc=0.91780
[ Valid | 014/020 ] loss = 0.94604, acc = 0.87364
train | [015/020] loss=0.86804, acc=0.92332
[ Valid | 015/020 ] loss = 0.91423, acc = 0.87671
train | [016/020] loss=0.87300, acc=0.92021
[ Valid | 016/020 ] loss = 0.98857, acc = 0.87415
train | [017/020] loss=0.85809, acc=0.92170
[ Valid | 017/020 ] loss = 0.94195, acc = 0.88364
train | [018/020] loss=0.86641, acc=0.92115
[ Valid | 018/020 ] loss = 0.95981, acc = 0.88132
train | [019/020] loss=0.86329, acc=0.91970
[ Valid | 019/020 ] loss = 0.92293, acc = 0.90001
train | [020/020] loss=0.86412, acc=0.92179
[ Valid | 020/020 ] loss = 0.92479, acc = 0.91561
train | [001/020] loss=0.86042, acc=0.92262
[ Valid | 001/020 ] loss = 0.90452, acc = 0.87847
train | [002/020] loss=0.85814, acc=0.91947
[ Valid | 002/020 ] loss = 0.87931, acc = 0.92573 -> best
train | [003/020] loss=0.85051, acc=0.92649
[ Valid | 003/020 ] loss = 0.94345, acc = 0.88439
train | [004/020] loss=0.84996, acc=0.92509
[ Valid | 004/020 ] loss = 0.88363, acc = 0.91800
train | [005/020] loss=0.85204, acc=0.92115
[ Valid | 005/020 ] loss = 0.90897, acc = 0.90504
train | [006/020] loss=0.83616, acc=0.92560
[ Valid | 006/020 ] loss = 0.89670, acc = 0.90030
train | [007/020] loss=0.85960, acc=0.92348
[ Valid | 007/020 ] loss = 0.84804, acc = 0.92781 -> best
train | [008/020] loss=0.84178, acc=0.92263
[ Valid | 008/020 ] loss = 0.84467, acc = 0.92922 -> best
train | [009/020] loss=0.84053, acc=0.92825
[ Valid | 009/020 ] loss = 0.84717, acc = 0.91139
train | [010/020] loss=0.84559, acc=0.92900
[ Valid | 010/020 ] loss = 0.86886, acc = 0.93292 -> best
train | [011/020] loss=0.83061, acc=0.92435
[ Valid | 011/020 ] loss = 0.87879, acc = 0.91343
train | [012/020] loss=0.83356, acc=0.92639
[ Valid | 012/020 ] loss = 0.87594, acc = 0.92866
train | [013/020] loss=0.83492, acc=0.93040
[ Valid | 013/020 ] loss = 0.86285, acc = 0.91501
train | [014/020] loss=0.84111, acc=0.93003
[ Valid | 014/020 ] loss = 0.86146, acc = 0.91237
train | [015/020] loss=0.82468, acc=0.92697
[ Valid | 015/020 ] loss = 0.84658, acc = 0.93086
train | [016/020] loss=0.82553, acc=0.92705
[ Valid | 016/020 ] loss = 0.88734, acc = 0.90998
train | [017/020] loss=0.82655, acc=0.92867
[ Valid | 017/020 ] loss = 0.86668, acc = 0.92524
train | [018/020] loss=0.82173, acc=0.92825
[ Valid | 018/020 ] loss = 0.88187, acc = 0.89774
train | [019/020] loss=0.82591, acc=0.93040
[ Valid | 019/020 ] loss = 0.85176, acc = 0.92500
train | [020/020] loss=0.81906, acc=0.93265
[ Valid | 020/020 ] loss = 0.82335, acc = 0.92813
